trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
12,08:03:00,08:03:00,359551,10,,0,,,,25261.2416439768,1
12,08:07:00,08:07:00,363387,11,,0,,,,27601.1899813617,1
12,08:11:00,08:11:00,1360603,12,,0,,,,29423.2613862693,1
120,10:45:00,10:45:00,351095,0,,0,,,,0,1
120,10:48:00,10:48:00,362196,1,,0,,,,855.963307005469,1
120,10:53:00,10:53:00,358569,2,,0,,,,1715.00516652503,1
120,11:01:00,11:01:00,474970,3,,0,,,,5051.98432869058,1
120,11:10:00,11:10:00,360641,4,,0,,,,9620.40023610338,1
120,11:14:00,11:14:00,474966,5,,0,,,,11731.9068381279,1
120,11:25:00,11:25:00,474958,6,,0,,,,16024.9431003115,1
121,11:45:00,11:45:00,351095,0,,0,,,,0,1
121,11:48:00,11:48:00,362196,1,,0,,,,855.963307005469,1
121,11:53:00,11:53:00,358569,2,,0,,,,1715.00516652503,1
121,12:01:00,12:01:00,474970,3,,0,,,,5051.98432869058,1
121,12:10:00,12:10:00,360641,4,,0,,,,9620.40023610338,1
121,12:14:00,12:14:00,474966,5,,0,,,,11731.9068381279,1
121,12:25:00,12:25:00,474958,6,,0,,,,16024.9431003115,1
122,12:45:00,12:45:00,351095,0,,0,,,,0,1
122,12:48:00,12:48:00,362196,1,,0,,,,855.963307005469,1
122,12:53:00,12:53:00,358569,2,,0,,,,1715.00516652503,1
122,13:01:00,13:01:00,474970,3,,0,,,,5051.98432869058,1
122,13:10:00,13:10:00,360641,4,,0,,,,9620.40023610338,1
122,13:14:00,13:14:00,474966,5,,0,,,,11731.9068381279,1
122,13:25:00,13:25:00,474958,6,,0,,,,16024.9431003115,1
123,13:45:00,13:45:00,351095,0,,0,,,,0,1
123,13:48:00,13:48:00,362196,1,,0,,,,855.963307005469,1
123,13:53:00,13:53:00,358569,2,,0,,,,1715.00516652503,1
123,14:01:00,14:01:00,474970,3,,0,,,,5051.98432869058,1
123,14:10:00,14:10:00,360641,4,,0,,,,9620.40023610338,1
123,14:14:00,14:14:00,474966,5,,0,,,,11731.9068381279,1
123,14:25:00,14:25:00,474958,6,,0,,,,16024.9431003115,1
124,14:45:00,14:45:00,351095,0,,0,,,,0,1
124,14:48:00,14:48:00,362196,1,,0,,,,855.963307005469,1
124,14:53:00,14:53:00,358569,2,,0,,,,1715.00516652503,1
124,15:01:00,15:01:00,474970,3,,0,,,,5051.98432869058,1
124,15:10:00,15:10:00,360641,4,,0,,,,9620.40023610338,1
124,15:14:00,15:14:00,474966,5,,0,,,,11731.9068381279,1
124,15:25:00,15:25:00,474958,6,,0,,,,16024.9431003115,1
125,15:45:00,15:45:00,351095,0,,0,,,,0,1
125,15:48:00,15:48:00,362196,1,,0,,,,855.963307005469,1
125,15:53:00,15:53:00,358569,2,,0,,,,1715.00516652503,1
125,16:01:00,16:01:00,474970,3,,0,,,,5051.98432869058,1
125,16:10:00,16:10:00,360641,4,,0,,,,9620.40023610338,1
125,16:14:00,16:14:00,474966,5,,0,,,,11731.9068381279,1
125,16:25:00,16:25:00,474958,6,,0,,,,16024.9431003115,1
126,16:45:00,16:45:00,351095,0,,0,,,,0,1
126,16:48:00,16:48:00,362196,1,,0,,,,855.963307005469,1
126,16:53:00,16:53:00,358569,2,,0,,,,1715.00516652503,1
126,17:01:00,17:01:00,474970,3,,0,,,,5051.98432869058,1
126,17:10:00,17:10:00,360641,4,,0,,,,9620.40023610338,1
126,17:14:00,17:14:00,474966,5,,0,,,,11731.9068381279,1
126,17:25:00,17:25:00,474958,6,,0,,,,16024.9431003115,1
127,17:45:00,17:45:00,351095,0,,0,,,,0,1
127,17:48:00,17:48:00,362196,1,,0,,,,855.963307005469,1
127,17:53:00,17:53:00,358569,2,,0,,,,1715.00516652503,1
127,18:01:00,18:01:00,474970,3,,0,,,,5051.98432869058,1
127,18:10:00,18:10:00,360641,4,,0,,,,9620.40023610338,1
127,18:14:00,18:14:00,474966,5,,0,,,,11731.9068381279,1
127,18:25:00,18:25:00,474958,6,,0,,,,16024.9431003115,1
128,18:45:00,18:45:00,351095,0,,0,,,,0,1
128,18:48:00,18:48:00,362196,1,,0,,,,855.963307005469,1
128,18:53:00,18:53:00,358569,2,,0,,,,1715.00516652503,1
128,19:01:00,19:01:00,474970,3,,0,,,,5051.98432869058,1
128,19:10:00,19:10:00,360641,4,,0,,,,9620.40023610338,1
128,19:14:00,19:14:00,474966,5,,0,,,,11731.9068381279,1
128,19:25:00,19:25:00,474958,6,,0,,,,16024.9431003115,1
129,19:45:00,19:45:00,351095,0,,0,,,,0,1
129,19:48:00,19:48:00,362196,1,,0,,,,855.963307005469,1
129,19:53:00,19:53:00,358569,2,,0,,,,1715.00516652503,1
129,20:01:00,20:01:00,474970,3,,0,,,,5051.98432869058,1
129,20:10:00,20:10:00,360641,4,,0,,,,9620.40023610338,1
129,20:14:00,20:14:00,474966,5,,0,,,,11731.9068381279,1
13,08:30:00,08:30:00,358424,0,,0,,,,8.41303031514162,1
13,08:34:00,08:34:00,359119,1,,0,,,,1186.59241786596,1
13,08:41:00,08:41:00,475000,2,,0,,,,4521.10176333914,1
13,08:47:00,08:47:00,1355358,3,,0,,,,7768.80220891487,1
13,08:56:00,08:56:00,349823,4,,0,,,,10182.4846050251,1
13,09:01:00,09:01:00,350125,5,,0,,,,12678.3047182442,1
13,09:07:00,09:07:00,475003,6,,0,,,,14604.4842193026,0
13,09:15:00,09:15:00,474874,7,,0,,,,18099.200723863,1
13,09:19:00,09:19:00,351095,8,,0,,,,19186.1391351399,1
13,09:26:00,09:26:00,363327,9,,0,,,,21812.4500586889,1
13,09:33:00,09:33:00,359551,10,,0,,,,25261.2416439768,1
13,09:37:00,09:37:00,363387,11,,0,,,,27601.1899813617,1
13,09:41:00,09:41:00,1360603,12,,0,,,,29423.2613862693,1
130,07:15:00,07:15:00,351095,0,,0,,,,0,1
130,07:18:00,07:18:00,362196,1,,0,,,,855.963307005469,1
130,07:23:00,07:23:00,358569,2,,0,,,,1715.00516652503,1
130,07:31:00,07:31:00,474970,3,,0,,,,5051.98432869058,1
130,07:40:00,07:40:00,360641,4,,0,,,,9620.40023610338,1
130,07:44:00,07:44:00,474966,5,,0,,,,11731.9068381279,1
130,07:55:00,07:55:00,474958,6,,0,,,,16024.9431003115,1
131,08:15:00,08:15:00,351095,0,,0,,,,0,1
131,08:18:00,08:18:00,362196,1,,0,,,,855.963307005469,1
131,08:23:00,08:23:00,358569,2,,0,,,,1715.00516652503,1
131,08:31:00,08:31:00,474970,3,,0,,,,5051.98432869058,1
131,08:40:00,08:40:00,360641,4,,0,,,,9620.40023610338,1
131,08:44:00,08:44:00,474966,5,,0,,,,11731.9068381279,1
131,08:55:00,08:55:00,474958,6,,0,,,,16024.9431003115,1
132,09:15:00,09:15:00,351095,0,,0,,,,0,1
132,09:18:00,09:18:00,362196,1,,0,,,,855.963307005469,1
132,09:23:00,09:23:00,358569,2,,0,,,,1715.00516652503,1
132,09:31:00,09:31:00,474970,3,,0,,,,5051.98432869058,1
132,09:40:00,09:40:00,360641,4,,0,,,,9620.40023610338,1
