stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
362545,,"Myrtle @ California (eastbound)","",37.392998,-120.60903100000002,,,0,,,0,,
362600,,"Winton @ Bellevue/99 cent store (southbound)","",37.359314,-120.613941,,,0,,,0,,
362607,,"Winton @ Juniper/ St. Anthony (southbound)","",37.356071,-120.61388699999998,,,0,,,0,,
362612,,"Winton @ Grove (southbound)","",37.353221,-120.613861,,,0,,,0,,
362644,,"Atwater Target ","",37.341335,-120.610366,,,0,,,0,,
363137,,"Atwater Transpo (westbound)","",37.345519,-120.608473,,,0,,,0,,
363166,,"Atwater Target ","",37.341414,-120.61055299999998,,,0,,,0,,
363210,,"Winton @ Olive (northbound)","",37.348561,-120.612478,,,0,,,0,,
363219,,"Winton @ Grove (northbound)","",37.353152,-120.61365899999998,,,0,,,0,,
363225,,"Winton @ Juniper/St. Anthony's (northbound)","",37.356233,-120.61370599999998,,,0,,,0,,
363230,,"Winton @ Bellevue/ 99 cent store (northbound)","",37.359337,-120.61373600000002,,,0,,,0,,
363285,,"Buhach @ 5th","",37.355783,-120.57642900000002,,,0,,,0,,
363286,,"Buhach @ Castle Park","",37.359083,-120.57645100000002,,,0,,,0,,
363291,,"Bellevue @ Atwater Plaza Shopping","",37.360526,-120.597075,,,0,,,0,,
363293,,"California @ Helton","",37.3855,-120.60899999999998,,,0,,,0,,
363309,,"8th St @ T St (westbound)","",37.2967,-120.501,,,0,,,0,,
363312,,"8th @ V St (westbound)","",37.297476,-120.503075,,,0,,,0,,
363319,,"V St @ 10th (northbound)","",37.299992,-120.502349,,,0,,,0,,
363327,,"11th @ W St (westbound)","",37.301466,-120.504011,,,0,,,0,,
363353,,"Lopes @ Linda (eastbound)","",37.299,-120.509,,,0,,,0,,
363387,,"T St @ 3rd (southbound)","",37.291764,-120.503644,,,0,,,0,,
363430,,"R St @ Childs (northbound)","",37.288466,-120.50161400000002,,,0,,,0,,
363438,,"R St @ 4th (northbound)","",37.2912,-120.5,,,0,,,0,,
363449,,"R St @ 8th (northbound)","",37.295696,-120.497549,,,0,,,0,,
363852,,"R St @ 10th (southbound)","",37.2972,-120.497,,,0,,,0,,
364733,,"Winton @ Olive (southbound)","",37.348868,-120.61278500000004,,,0,,,0,,
364901,,"Buhach @ Bellevue (northbound)","",37.361357,-120.576577,,,0,,,0,,
365503,,"Le Grand @ Washington","",37.2284,-120.248,,,0,,,0,,
366057,,"Los Banos Memorial Hospital (westbound)","",37.063472,-120.859261,,,0,,,0,,
366060,,"Merced College/Los Banos Campus","",37.057626,-120.894716,,,0,,,0,,
366771,,"Los Banos Memorial Hospital (eastbound)","",37.063358,-120.859262,,,0,,,0,,
366777,,"F St @ 4th/County Offices","",37.064815,-120.847936,,,0,,,0,,
367197,,"Dos Palos Cafe 33 (to Los Banos)","",37.048327,-120.636026,,,0,,,0,,
367565,,"El Nido Grocery (northbound)","",37.136577,-120.492028,,,0,,,0,,
367790,,"El Nido Grocery (southbound)","",37.136637,-120.492125,,,0,,,0,,
376572,,"Loughborough @ Target/Mall (eastbound)","",37.323353,-120.485387,,,0,,,0,,
383575,,"Dos Palos Y Cafe 33 (to Merced)","",37.048292,-120.636075,,,0,,,0,,
469427,,"Hwy 140 @ Dollar General (westbound)","",37.302861,-120.505579,,,0,,,0,,
469731,,"Atwater Transpo (Counter-Clockwise)","",37.345482,-120.608429,,,0,,,0,,
474740,,"Bellevue Rd @ Alabama Ave (eastbound)","",37.360385,-120.59775,,,0,,,0,,
474741,,"Bellevue Rd @ Brownell Ave (eastbound)","",37.360402,-120.593898,,,0,,,0,,
